departure_airport,arrival_airport,air_time
ATL,CVG,71.16216216216216
ATL,DAB,63.275862068965516
ATL,DAL,123.46666666666667
ATL,DAY,68.66666666666667
ATL,DCA,94.43333333333334
ATL,DEN,182.59493670886076
ATL,DFW,141.32608695652175
ATL,DHN,44.357142857142854
ATL,DSM,113.04651162790698
ATL,DTW,103.76271186440678
ATL,ECP,54.486486486486484
ATL,EGE,191.73684210526315
ATL,ELM,88.72727272727273
ATL,ELP,175.86206896551724
ATL,EVV,65.6
ATL,EWN,65.2
ATL,EWR,115.64285714285714
ATL,EYW,91.54838709677419
ATL,FAR,150.83333333333334
ATL,FAY,57.87096774193548
ATL,FCA,241.4
ATL,FLL,96.15686274509804
ATL,FNT,94.57142857142857
ATL,FSD,136.58536585365854
ATL,FSM,94.94736842105263
ATL,FWA,85.52631578947368
ATL,GNV,55.91428571428571
ATL,GPT,61.5
ATL,GRB,111.475
ATL,GRK,121.28301886792453
ATL,GRR,97.26190476190476
ATL,GSO,54.55172413793103
ATL,GSP,39.45454545454545
ATL,GTR,48.06896551724138
ATL,HDN,193.40540540540542
ATL,HNL,546.9
ATL,HOU,117.75
ATL,HPN,117.62745098039215
ATL,HSV,37.148148148148145
ATL,IAD,84.78571428571429
ATL,IAH,120.0
ATL,ICT,118.30952380952381
ATL,ILM,61.0625
ATL,IND,78.2
ATL,JAC,213.93023255813952
ATL,JAN,64.71794871794872
ATL,JAX,60.84090909090909
ATL,JFK,117.6268656716418
ATL,LAN,89.0
ATL,LAS,244.18987341772151
ATL,LAX,265.75
ATL,LEX,60.45945945945946
ATL,LFT,85.45454545454545
ATL,LGA,124.03614457831326
ATL,LIT,78.84210526315789
ATL,LNK,124.775
ATL,MBS,99.9090909090909
ATL,MCI,112.57142857142857
ATL,MCO,81.0
ATL,MDT,87.18181818181819
ATL,MDW,106.0327868852459
ATL,MEM,65.77777777777777
ATL,MGM,40.96666666666667
ATL,MHT,120.0909090909091
ATL,MIA,101.05555555555556
ATL,MKE,101.17777777777778
ATL,MLB,73.12903225806451
ATL,MLI,98.85
ATL,MLU,77.75
ATL,MOB,63.7906976744186
ATL,MSN,104.58974358974359
ATL,MSO,241.0
ATL,MSP,141.203125
ATL,MSY,81.32
ATL,MTJ,197.75
ATL,MYR,53.083333333333336
ATL,OAJ,61.464285714285715
ATL,OAK,294.84615384615387
ATL,OKC,117.76086956521739
ATL,OMA,123.30232558139535
ATL,ONT,252.33333333333334
ATL,ORD,115.57142857142857
ATL,ORF,75.86486486486487
ATL,PBI,91.55319148936171
ATL,PDX,290.056338028169
ATL,PHF,74.19354838709677
ATL,PHL,105.83050847457628
ATL,PHX,225.84
ATL,PIA,91.44736842105263
ATL,PIT,78.75
ATL,PNS,59.785714285714285
ATL,PVD,116.80952380952381
ATL,PWM,126.8974358974359
ATL,RAP,164.58333333333334
ATL,RDU,65.26829268292683
ATL,RIC,77.33333333333333
ATL,ROA,60.38709677419355
ATL,ROC,99.17142857142858
